Loading snapshot
Resuming training from snapshot at Epoch 4900
Loading snapshot
Resuming training from snapshot at Epoch 4900
Loading snapshot
Resuming training from snapshot at Epoch 4900
Loading snapshot
Resuming training from snapshot at Epoch 4900
[GPU2] Epoch 4980 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4980 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4981 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4981 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4981 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4981 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4982 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4982 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4982 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4982 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4983 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4983 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4983 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4983 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4984 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4984 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4984 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4984 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4985 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4985 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4985 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4985 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4986 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4986 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4986 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4986 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4987 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4987 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4987 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4987 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4988 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4988 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4988 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4988 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4989 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4989 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4989 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4989 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4990 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4990 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4990 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4990 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4991 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4991 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4991 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4991 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4992 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4992 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4992 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4992 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4993 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4993 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4993 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4993 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4994 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4994 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4994 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4994 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4995 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4995 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4995 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4995 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4996 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4996 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4996 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4996 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4997 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4997 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4997 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4997 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4998 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4998 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4998 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4998 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4999 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4999 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4999 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4999 | Batchsize: 32 | Steps: 16
